期刊名称	IF	JCR分区	Category	ISSN	eISSN	中科院分区
3D Printing in Medicine	3.1	Q2	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)	N/A	2365-6271	3
AAPS Journal	3.7	Q2	PHARMACOLOGY & PHARMACY(SCIE)	1550-7416	1550-7416	3
ACADEMIC EMERGENCY MEDICINE	3.2	Q1	EMERGENCY MEDICINE(SCIE)	1069-6563	1553-2712	3
ACADEMIC RADIOLOGY	3.9	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	1076-6332	1878-4046	2
ACCOUNTS OF CHEMICAL RESEARCH	17.7	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	0001-4842	1520-4898	1
ACS Central Science	10.4	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	2374-7943	2374-7951	1
ACS Chemical Biology	3.8	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	1554-8929	1554-8937	2
ACS Chemical Neuroscience	3.9	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CHEMISTRY, MEDICINAL(SCIE);NEUROSCIENCES(SCIE)	1948-7193	1948-7193	3
ACS Infectious Diseases	3.8	Q1	CHEMISTRY, MEDICINAL(SCIE);INFECTIOUS DISEASES(SCIE)	2373-8227	N/A	2
ACS Measurement Science Au	9	Q1	CHEMISTRY, ANALYTICAL(ESCI)	N/A	2694-250X	2
ACS Medicinal Chemistry Letters	4	Q2	CHEMISTRY, MEDICINAL(SCIE)	1948-5875	N/A	3
ACS Nanoscience Au	6.3	Q2	NANOSCIENCE & NANOTECHNOLOGY(ESCI)	N/A	2694-2496	3
ACS Omega	4.3	Q2	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	2470-1343	2470-1343	3
ACS Organic & Inorganic Au	4.4	Q2	CHEMISTRY, MULTIDISCIPLINARY(ESCI)	2694-247X	2694-247X	3
ACS Pharmacology & Translational Science	3.7	Q2	CHEMISTRY, MEDICINAL(ESCI);PHARMACOLOGY & PHARMACY(ESCI)	N/A	2575-9108	3
ACS Sensors	9.1	Q1	CHEMISTRY, ANALYTICAL(SCIE);CHEMISTRY, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)	2379-3694	2379-3694	1
ACS Synthetic Biology	3.9	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE)	2161-5063	N/A	2
ACTA DERMATO-VENEREOLOGICA	3.7	Q1	DERMATOLOGY(SCIE)	0001-5555	1651-2057	3
ACTA NEUROPATHOLOGICA	9.3	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE);PATHOLOGY(SCIE)	0001-6322	1432-0533	1
Acta Neuropathologica Communications	5.7	Q1	NEUROSCIENCES(SCIE)	2051-5960	2051-5960	1
Acta Pharmaceutica Sinica B	14.6	Q1	PHARMACOLOGY & PHARMACY(SCIE)	2211-3835	2211-3843	1
ACTA PHARMACOLOGICA SINICA	8.4	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1671-4083	1745-7254	2
Acta Physiologica	5.6	Q1	PHYSIOLOGY(SCIE)	1748-1708	1748-1716	1
ACTA PSYCHIATRICA SCANDINAVICA	5	Q1	PSYCHIATRY(SCIE, SSCI)	0001-690X	1600-0447	2
ADDICTION	5.3	Q1	PSYCHIATRY(SCIE, SSCI);SUBSTANCE ABUSE(SCIE, SSCI)	0965-2140	1360-0443	2
Addiction Science & Clinical Practice	3.2	Q1	SUBSTANCE ABUSE(SCIE, SSCI)	1940-0640	1940-0640	2
ADDICTIVE BEHAVIORS	3.6	Q1	PSYCHOLOGY, CLINICAL(SSCI);SUBSTANCE ABUSE(SCIE, SSCI)	0306-4603	1873-6327	2
Adipocyte	3.1	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	2162-3945	2162-397X	3
ADVANCED DRUG DELIVERY REVIEWS	17.6	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0169-409X	1872-8294	1
Advances in Methods and Practices in Psychological Science	13.4	Q1	PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	2515-2459	2515-2467	1
Advances in Nutrition	9.2	Q1	NUTRITION & DIETETICS(SCIE)	2161-8313	2156-5376	2
Advances in Sample Preparation	6.5	Q1	CHEMISTRY, ANALYTICAL(ESCI)	N/A	2772-5820	2
ADVANCES IN THERAPY	4	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	0741-238X	1865-8652	3
Advances in Wound Care	5.6	Q1	DERMATOLOGY(SCIE)	2162-1918	2162-1934	3
Aesthetic Surgery Journal	3.9	Q1	SURGERY(SCIE)	1090-820X	1527-330X	3
AI & Society	4.7	Q2	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)	0951-5666	1435-5655	3
